title,company,location,avg_salary,description,redirect_url,experience_level,soc_code,job_category,matched_skills
Technical Product Manager,Workforce Opportunity Services,"East Liberty, Allegheny County",110099.36,"Overview: The Associate Technical Product Manager will assist overseeing day-to-day data operations, translate business needs into technical deliverables, and develop lightweight tools to reduce manual work. This role is embedded in a hands-on, pragmatic environment at a growing legal tech startup. Position Description: The Associate Technical Product Manager is responsible for maintaining healthy database performance, building automation scripts, setting up and supporting ELT processes, and cr…",https://www.adzuna.com/details/5431090065?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
Creative/Technical Designer II,Duquesne,"Duquesne, Allegheny County",52462.91,"JOB SUMMARY: The Creative/Technical Designer II will play a key role in the development and execution of new products by creating product designs, technical sketches, and maintaining product specifications. This role contributes to product line development through design, print, pattern, and color work while ensuring accuracy and consistency in PLM. The Creative/Technical Designer II collaborates with Product Development Managers and leadership to deliver designs that align with business goals …",https://www.adzuna.com/details/5429544864?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
"Senior Product Manager, User Voice, gTech",Google,"Pittsburgh, Allegheny County",261219.89,"Senior Product Manager, User Voice, gTech _corporate_fare_ Google _place_ Boulder, CO, USA; Pittsburgh, PA, USA Advanced Experience owning outcomes and decision making, solving ambiguous problems and influencing stakeholders; deep expertise in domain. _info_outline_ XThe application window will be open until at least September 17, 2025. This opportunity will remain online based on business needs which may be before or after the specified date.Note: By applying to this position you will have an …",https://www.adzuna.com/details/5427418106?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
"Senior Product Manager, Core Experience",Google,"Pittsburgh, Allegheny County",205758.8,"Senior Product Manager, Core Experience _corporate_fare_ Google _place_ Boulder, CO, USA; Pittsburgh, PA, USA Advanced Experience owning outcomes and decision making, solving ambiguous problems and influencing stakeholders; deep expertise in domain. _info_outline_ XThe application window will be open until at least September 24, 2025. This opportunity will remain online based on business needs which may be before or after the specified date.Note: By applying to this position you will have an op…",https://www.adzuna.com/details/5427418092?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
ConvergeCONSUMER - Optimization Data Scientist (Senior Consultant) - Innovation_Delivery_Transformation,Deloitte,"Pittsburgh, Allegheny County",207222.92,"The Team The Innovation & Delivery Transformation team is building the future of our business. This the group responsible for identifying, nurturing, scaling, and ultimately winning in new markets with new capabilities. We don't rely on what the firm has always done - we look to the future and invest where we know the growth will be 3, 5, 10 years down the road. The Innovation & Delivery Transformation Team collaborates with Industries, Offering Portfolios, Growth, and Delivery Transformation t…",https://www.adzuna.com/details/5427416442?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
Product Manager,Sms Group Inc,"Observatory, Allegheny County",93989.48,"Summary This position will support the Modernizations/Upgrades, Spare Parts, Repair/Maintenance and Field Service for Long Products Medium / Heavy Section Rolling & Finishing Equipment. Who we are At SMS group, our people are our greatest asset. We offer an entrepreneurial environment that promotes a culture of innovation, growth, and inclusion. We offer company events, activities, and opportunities to participate in charitable initiatives that benefit the communities where we are located. www.…",https://www.adzuna.com/details/5421817131?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
Technical Program Manager,Govini,"Pittsburgh, Allegheny County",75557.98,"Company Description Govini transforms Defense Acquisition from an outdated manual process to a software-driven strategic advantage for the United States. Our flagship product, Ark, supports Supply Chain, Science and Technology, Production, Sustainment, Logistics, and Modernization teams with AI-enabled Applications and best-in-class data to more rapidly imagine, develop, and field the capabilities we need. Today, the national security community and every branch of the military rely on Govini to…",https://www.adzuna.com/details/5419426730?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
Technical Program Manager,Govini,"Arsenal, Allegheny County",88361.16,"Company Description Govini transforms Defense Acquisition from an outdated manual process to a software-driven strategic advantage for the United States. Our flagship product, Ark, supports Supply Chain, Science and Technology, Production, Sustainment, Logistics, and Modernization teams with AI-enabled Applications and best-in-class data to more rapidly imagine, develop, and field the capabilities we need. Today, the national security community and every branch of the military rely on Govini to…",https://www.adzuna.com/details/5415017379?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
"Lead Technical Sales Specialist, Supplements (US Remote)",ThermoFisher Scientific,"Pittsburgh, Allegheny County",78096.27,"Work Schedule Standard (Mon-Fri) Environmental Conditions Office Job Description At Thermo Fisher Scientific, our work has a purpose, demanding passion and yielding significant results. We share expertise and innovation with customers to improve the world. Location/Division Specific Information The America's Technical Sales Specialist (TSS) - Supplements, is a U.S. field-based role within the Biologics and Chemicals Division that owns new business and reoccurring business growth responsibility …",https://www.adzuna.com/details/5410890194?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
Associate Technical Product Manager,Workforce Opportunity Services,"East Liberty, Allegheny County",102459.89,"Overview: The Associate Technical Product Manager will assist overseeing day-to-day data operations, translate business needs into technical deliverables, and develop lightweight tools to reduce manual work. This role is embedded in a hands-on, pragmatic environment at a growing legal tech startup. This role is a great fit for someone looking for their first Technical Product Management role. Position Description: The Associate Technical Product Manager is responsible for maintaining healthy da…",https://www.adzuna.com/details/5405111676?utm_medium=api&utm_source=a6e23083,N/A,11-3021,Technical Product Manager,[]
