title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
"Director, AI/ML Engineering - Remote",UnitedHealth Group,"Pico Heights, Los Angeles County",IT Jobs,69512.08,69512.08,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health o…",https://www.adzuna.com/land/ad/5339826822?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=8E616E385469A3245533E7AD25A2A16A8FB54D7D
Software Engineer- AI/ML Workflows,Red Hat,"Boston, Suffolk County",IT Jobs,150357.3,150357.3,1,"Job Summary The Red Hat Ecosystems Engineering group is seeking a Software Engineer in our Boston, MA office. In this role, you will work with a diverse team of highly motivated engineers on designing, developing, and testing AI/ML software solutions to integrate partner technologies within the Red Hat OpenShift AI ecosystem, ensuring robust and scalable performance. You will also be working closely with product management, other engineering groups within Red Hat, and with Red Hat partners and …",https://www.adzuna.com/land/ad/5372684240?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=457F659FDC118B0FFD764089FE0062CC666798A4
Lead AI/ML Engineer - Remote,UnitedHealth Group,"Pico Heights, Los Angeles County",IT Jobs,48258.28,48258.28,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join u…",https://www.adzuna.com/land/ad/5392333139?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=63B352FE4D5019B6A4585A20ECC6E670A9C24B72
Lead AI/ML Engineer - Remote,UnitedHealth Group,"Atlanta, Fulton County",IT Jobs,49872.05,49872.05,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join u…",https://www.adzuna.com/land/ad/5391517910?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=11CE7A02AE5D5893B73EA89E8678DB1CE849EF49
Senior AI/ML Engineer - Remote,UnitedHealth Group,"Atlanta, Fulton County",IT Jobs,161244.45,161244.45,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join u…",https://www.adzuna.com/land/ad/5405810445?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=D8C9C64C127D1380D4E7AAA12E769975B134BCD8
Senior AI/ML Engineer - Remote,UnitedHealth Group,"Pico Heights, Los Angeles County",IT Jobs,138146.9,138146.9,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join u…",https://www.adzuna.com/land/ad/5404991094?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=A0BA810667A01483242D113BA83A265D99CF4173
Senior AI/ML Engineer - Remote,UnitedHealth Group,"Bellevue, King County",IT Jobs,158608.7,158608.7,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join u…",https://www.adzuna.com/land/ad/5405833001?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=776C731DC5AF750C9CAE2E4A0D81D0F3B67BD3F8
Secret Senior AI/ML Engineer,Insight Global,"Saint Andrews, Charleston County",IT Jobs,149951.05,149951.05,1,"Job Description Insight Global is looking to bring on a Secret cleared Senior AI/ML Engineer to sit fully remote in support of a Federal client. The Engineer will be responsible for designing, developing, and deploying advanced machine learning models and AI algorithms that drive critical decision-making capabilities. Additional duties include: Work closely with data engineers, analysts, and defense experts, to help build scalable AI/ML solutions tailored to meet the unique needs of national se…",https://www.adzuna.com/land/ad/5412431421?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=56828A8927EA30AC7B561652DCBF0393590D4B43
Principal AI/ML Engineer - Remote,UnitedHealth Group,"Eden Prairie, Hennepin County",IT Jobs,64785.95,64785.95,1,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join u…",https://www.adzuna.com/land/ad/5404174662?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=0D1D51C6CF7F0DB32DFDC89B4B9F37D7FE43ABB6
Principal Software Engineer - AI/ML,Oracle,"Mongmong, Mongmong-Toto-Maite",IT Jobs,108232.32,108232.32,1,"Job Description At Oracle Health Data Intelligence (HDI) , our mission is to empower healthcare organizations with actionable insights derived from comprehensive, secure, and innovative health data solutions. By harnessing the power of advanced analytics, artificial intelligence, and cloud technologies, we strive to enhance clinical decision-making, improve patient outcomes, and drive operational efficiency across the healthcare ecosystem. Values are Oracle's foundation and how we deliver excel…",https://www.adzuna.com/land/ad/5387602208?se=KjJzgD2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=4D8F1827D79E8B64C02D41679B3678C86F84E8F7
