title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
Principal Technical Product Manager - Palantir,GE Aerospace,"Kansas City, Jackson County",Engineering Jobs,183065.89,183065.89,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407781520?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=B3F59983EDFE708A46C484BCB6B3382136CEFBF5
Principal Technical Product Manager - Palantir,GE Aerospace,"Hygiene, Boulder County",Engineering Jobs,143499.98,143499.98,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407772882?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=247DC567C0F7B33B46A272583E297EA8501832C5
Principal Technical Product Manager - Palantir,GE Aerospace,"Hooksett, Merrimack County",Engineering Jobs,178881.8,178881.8,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407775503?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=13676EDC478D4F18A3B08C97F4A84C2F1E9D3212
Principal Technical Product Manager - Palantir,GE Aerospace,"Madisonville, Hopkins County",Engineering Jobs,124875.57,124875.57,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407775148?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=C2114C850C6152EAD84013E76C760E3B3CA3A66D
Principal Technical Product Manager - Palantir,GE Aerospace,"Phoenix, Maricopa County",Engineering Jobs,116340.9,116340.9,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407770446?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=63F2F3FB2E56A5ADC8657E71B3F24662FAC0AD3D
Principal Technical Product Manager - Palantir,GE Aerospace,"Quivira, Johnson County",Engineering Jobs,137289.0,137289.0,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407772487?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=943452CFD79E707B8E55035B9CB8204228E6385A
Principal Technical Product Manager - Palantir,GE Aerospace,"Redstone Arsenal, Madison County",Engineering Jobs,139147.31,139147.31,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407768001?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=197C087604A646A06C797B0FFD585EA8D4AE2737
Principal Technical Product Manager - Palantir,GE Aerospace,"Glendale, Denver",Engineering Jobs,143992.67,143992.67,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407772904?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=9D72F209F3DCB9E7AB396E7126922AB2DDA2C43F
Principal Technical Product Manager - Palantir,GE Aerospace,"South Norwalk, Fairfield County",Engineering Jobs,132790.48,132790.48,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407767904?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=EFD1D0CF55FEBC655F32DE0AFD3CB46E21934F5C
Principal Technical Product Manager - Palantir,GE Aerospace,"Bonnie, Utah County",Engineering Jobs,125829.06,125829.06,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407801039?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=4E228BCF132380D12923BB1926FADC51BEDD65C4
Principal Technical Product Manager - Palantir,GE Aerospace,"Lynn, Essex County",Engineering Jobs,98891.03,98891.03,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407782536?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=1AFD690B20D620E5E3FB896319D08DAD12F77E6B
Principal Technical Product Manager - Palantir,GE Aerospace,"Boston, Suffolk County",Engineering Jobs,115297.78,115297.78,1,"Job Description Summary Do you have a passion for leveraging data, analytics, and AI to drive meaningful change? At GE Aerospace, we are transforming supply chain processes to address one of our most critical business challenges: delivery. We are seeking an innovative Digital Technology leader to lead a Production System Hoshin Kanri (HK) workstream, focused on driving process optimization and innovation across Material Planning and Supplier Management. In this role, you will serve as a Princip…",https://www.adzuna.com/land/ad/5407782453?se=lFIcoj2Z8BGhTLTjTRWxFQ&utm_medium=api&utm_source=a6e23083&v=1578BA2AB9D841035AADDE759BEDD7E8B44B9B41
