title,description,skills,technology_skills,education_level,salary_median,job_growth,work_activities,work_context,knowledge_areas,abilities,work_styles,tasks,tools_used,work_values,url
Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.",[],"['R', 'Go', 'AWS', 'Git', 'Excel']",,$30.86,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3022.00
Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",[],"['R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel']",,$47.88,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2051.00
Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",[],"['Python', 'Java', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'AWS', 'Git', 'Linux', 'Excel', 'SQL', 'Perl']",,$74.53,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2061.00
"Drafters, All Other","Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['R', 'Go']",,$29.81,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3019.00
Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",[],"['Python', 'Java', 'JavaScript', 'C++', 'R', 'MATLAB', 'Go', 'AWS', 'Git', 'Linux', 'Excel', 'Perl']",,$37.11,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3023.00
Electrical and Electronics Drafters,"Sample of reported job titles:Computer-Aided Design Operator, Designer, Drafter, Drafting Technician (Drafting Tech), Electrical Designer, Electrical Drafter, Layout Designer, Printed Circuit Board Designer (PCB Designer), Staking Engineer, Staking Technician (Staking Tech)",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'AWS', 'Git', 'Linux', 'Excel', 'Perl']",,$35.44,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3012.00
Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",[],"['Python', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'SQL', 'Perl']",,$53.80,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2071.00
Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'React', 'AWS', 'Git', 'Linux', 'Agile', 'Excel', 'Perl']",,$34.02,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3024.00
"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",[],"['Python', 'Java', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'AWS', 'Linux', 'Agile', 'Excel', 'SQL', 'Perl']",,$61.34,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2072.00
"Energy Engineers, Except Wind and Solar","Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",[],"['Python', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.03
"Engineering Technologists and Technicians, Except Drafters, All Other",,[],"['R', 'Go']",,$37.21,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3029.00
"Engineers, All Other",,[],"['R', 'Go']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.00
Environmental Engineering Technologists and Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Excel', 'SQL', 'Perl']",,$28.31,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3025.00
Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Excel']",,$50.08,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2081.00
Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",,$52.72,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2111.02
Fuel Cell Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",[],"['C++', 'R', 'MATLAB', 'Go', 'Rust', 'AWS', 'Excel', 'Perl']",,$49.19,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2141.01
Geodetic Surveyors,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Java', 'C++', 'C#', 'R', 'Go', 'HTML', 'AWS', 'Linux', 'Excel', 'SQL']",,$34.97,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-1022.01
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel']",,$52.72,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2111.00
Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",[],"['Java', 'JavaScript', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'HTML', 'CSS', 'React', 'AWS', 'Linux', 'Excel', 'jQuery']",,$48.63,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2112.01
Industrial Engineering Technologists and Technicians,"Sample of reported job titles:Business Process Analyst, Engineering Technician, Industrial Engineering Analyst, Industrial Engineering Technician, Manufacturing Coordinator, Manufacturing Technology Analyst, Quality Control Engineering Technician (QC Engineering Technician), Quality Management Coordinator, Quality Technician, Service Technician",[],"['C++', 'R', 'MATLAB', 'Go', 'AWS', 'Excel']",,$31.15,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3026.00
Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",[],"['Python', 'Java', 'C++', 'R', 'MATLAB', 'Go', 'React', 'AWS', 'Git', 'Linux', 'Excel', 'SQL']",,$48.63,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2112.00
Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",,$38.30,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-1012.00
Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",[],"['R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']",,$48.63,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2112.03
Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",[],"['R', 'MATLAB', 'Go', 'React', 'AWS', 'Excel', 'Perl']",,$50.80,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2121.00
Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']",,$52.07,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2131.00
Mechanical Drafters,"Sample of reported job titles:CAD Designer (Computer Aided Design Designer), CAD Operator (Computer Aided Design Operator), Design Drafter, Drafter, Drafting Technician, Mechanical Designer, Mechanical Drafter, Product Designer, Project Designer",[],"['R', 'Go', 'React', 'AWS', 'Excel']",,$32.94,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3013.00
Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.",[],"['C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']",,$33.04,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3027.00
Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'AWS', 'Excel', 'SQL', 'Perl', 'Chef', 'Puppet']",,$49.19,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2141.00
Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",[],"['Python', 'Java', 'C++', 'R', 'Go', 'Rust', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.05
Microsystems Engineers,"Sample of reported job titles:Control Systems Engineer, MEMS Integration Engineer (Microelectrical Mechanical Integration Engineer), Microsystems Engineer, Process Engineer, Product Design Engineer, Project Design Engineer, Project Engineer, Radio Frequency Design Engineer (RF Design Engineer), System Engineer, Systems Engineer",[],"['Java', 'JavaScript', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'React', 'AWS', 'Git', 'Excel', 'Perl']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.06
"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",[],"['R', 'Go', 'Rust', 'AWS', 'Excel', 'MySQL', 'SQL', 'Perl']",,$48.57,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2151.00
Nanosystems Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",[],"['Python', 'Java', 'R', 'Go', 'Rust', 'React', 'Hadoop', 'AWS', 'Linux', 'Tableau', 'Excel', 'SQL', 'Perl']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.09
Nanotechnology Engineering Technologists and Technicians,"Implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff.",[],"['R', 'Go', 'AWS', 'Excel', 'Perl']",,$31.15,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3026.01
Non-Destructive Testing Specialists,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'Perl']",,$37.21,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3029.01
Nuclear Engineers,"Sample of reported job titles:Engineer, Nuclear Design Engineer, Nuclear Engineer, Nuclear Licensing Engineer, Nuclear Process Engineer, Nuclear Reactor Engineer, Nuclear Safety Engineer, Nuclear Steam Supply System Engineer (NSSS Engineer), Radiological Engineer, Reactor Engineer",[],"['Python', 'Java', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'Perl']",,$61.31,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2161.00
Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,[],"['Java', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']",,$67.92,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2171.00
Photonics Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",[],"['Java', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.07
Photonics Technicians,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['R', 'MATLAB', 'Go', 'AWS', 'Excel', 'Perl']",,$37.21,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3029.08
Radio Frequency Identification Device Specialists,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,[],"['Java', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'SQL', 'Ruby', 'Perl']",,$61.34,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2072.01
Robotics Engineers,"Sample of reported job titles:Automation Engineer, Autonomous Vehicle Design Engineer, Design Engineer, Factory Automations Engineer, Research Engineer, Robotic Systems Engineer",[],"['Python', 'Java', 'JavaScript', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Linux', 'Excel', 'SQL', 'Perl']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.08
Robotics Technicians,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Python', 'Java', 'JavaScript', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'React', 'AWS', 'Git', 'Linux', 'Excel', 'SQL', 'Perl']",,$34.02,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3024.01
Solar Energy Systems Engineers,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",[],"['Python', 'Java', 'JavaScript', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'SQL']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.11
Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.",[],"['Python', 'Java', 'JavaScript', 'R', 'Go', 'HTML', 'AWS', 'Git', 'Excel', 'SQL']",,$24.97,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-3031.00
Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Excel']",,$34.97,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-1022.00
Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",[],"['Python', 'R', 'Go', 'Rust', 'AWS', 'Excel', 'SQL']",,$47.88,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2051.01
Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",[],"['C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'Node.js', 'Django', 'Kubernetes', 'Docker', 'AWS', 'Git', 'Linux', 'Excel', 'MongoDB', 'PostgreSQL', 'SQL', 'Apache Kafka', 'Scala', 'PHP', 'Perl', 'Jenkins', 'Ansible', 'Chef', 'Puppet', 'Terraform']",,$48.63,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2112.02
Water/Wastewater Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",[],"['Python', 'Java', 'R', 'Go', 'Rust', 'React', 'AWS', 'Excel', 'SQL']",,$47.88,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2051.02
Wind Energy Engineers,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,[],"['Python', 'Java', 'C++', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Git', 'Linux', 'Tableau', 'Excel', 'SQL']",,$56.61,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/17-2199.10
Agricultural Technicians,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['R', 'Go', 'AWS', 'Excel', 'Perl']",,$22.49,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-4012.00
Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Tableau', 'Excel', 'SQL']",,$38.04,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-1011.00
Anthropologists and Archeologists,"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations.",[],"['C++', 'R', 'MATLAB', 'Go', 'React', 'Excel', 'SQL']",,$31.21,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-3091.00
Astronomers,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Python', 'Java', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'Hadoop', 'AWS', 'Linux', 'Excel', 'SQL']",,$63.54,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-2011.00
Atmospheric and Space Scientists,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Python', 'C++', 'R', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']",,$46.85,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-2021.00
Biochemists and Biophysicists,"Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['Python', 'R', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'Perl']",,$49.83,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-1021.00
Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",[],"['Java', 'JavaScript', 'C#', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'Django', 'Docker', 'AWS', 'Azure', 'Git', 'Linux', 'Machine Learning', 'Tableau', 'Excel', 'PostgreSQL', 'MySQL', 'SQL', 'Scala', 'PHP', 'Ruby', 'jQuery']",,$44.87,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-1029.01
"Biological Scientists, All Other","Disclaimer:Sources are listed to provide additional information on related jobs, specialties, and/or industries.
Links to non-DOL Internet sites are provided for your convenience and do not constitute an endorsement.",[],"['R', 'Go']",,$44.87,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-1029.00
Biological Technicians,"Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.",[],"['R', 'Go', 'AWS', 'Excel', 'Perl']",,$25.00,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-4021.00
Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",[],"['Java', 'C++', 'R', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']",,$44.87,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-1029.04
Chemical Technicians,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences.",[],"['Python', 'Java', 'C++', 'R', 'Go', 'AWS', 'Linux', 'Excel', 'SQL', 'Perl']",,$27.78,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-4031.00
Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,[],"['Java', 'C++', 'R', 'Go', 'Rust', 'HTML', 'React', 'AWS', 'Git', 'Agile', 'Excel', 'SQL', 'Perl']",,$40.46,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-2031.00
Climate Change Policy Analysts,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.",[],"['Python', 'C++', 'R', 'MATLAB', 'Go', 'Rust', 'React', 'AWS', 'Linux', 'Excel', 'Perl']",,$38.49,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-2041.01
Clinical and Counseling Psychologists,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",[],"['R', 'Go', 'Rust', 'React', 'AWS', 'Excel']",,$46.07,,"['Type a title or code for matches', 'No quick matches found', 'Search for keyword results']",[],[],[],[],[],[],[],https://www.onetonline.org/link/summary/19-3033.00
