title,occupation_family,salary_median_clean,job_growth
"Pump Operators, Except Wellhead Pumpers",Transportation and Material Moving,28.86,
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Education, Training, and Library",28.82,
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair",28.75,
"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations,28.72,
"Earth Drillers, Except Oil and Gas",Construction and Extraction,28.65,
Firefighters,Protective Service,28.62,
"Meeting, Convention, and Event Planners",Business and Financial Operations,28.58,
Interpreters and Translators,"Arts, Design, Entertainment, Sports, and Media",28.58,
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry",28.53,
Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair",28.51,
Carpenters,Construction and Extraction,28.51,
Reinforcing Iron and Rebar Workers,Construction and Extraction,28.5,
Substance Abuse and Behavioral Disorder Counselors,Community and Social Service,28.46,
Mental Health Counselors,Community and Social Service,28.46,
"Explosives Workers, Ordnance Handling Experts, and Blasters",Construction and Extraction,28.42,
Environmental Engineering Technologists and Technicians,Architecture and Engineering,28.31,
Operating Engineers and Other Construction Equipment Operators,Construction and Extraction,28.23,
First-Line Supervisors of Security Workers,Protective Service,28.18,
Hydrologic Technicians,"Life, Physical, and Social Science",28.16,
"Child, Family, and School Social Workers",Community and Social Service,28.16,
"Refractory Materials Repairers, Except Brickmasons","Installation, Maintenance, and Repair",28.15,
Bridge and Lock Tenders,Transportation and Material Moving,28.12,
Occupational Health and Safety Technicians,"Life, Physical, and Social Science",28.1,
Exercise Physiologists,Healthcare Practitioners and Technical,27.96,
Drywall and Ceiling Tile Installers,Construction and Extraction,27.95,
Farm and Home Management Educators,"Education, Training, and Library",27.94,
"Rail Yard Engineers, Dinkey Operators, and Hostlers",Transportation and Material Moving,27.9,
Correctional Officers and Jailers,Protective Service,27.87,
Massage Therapists,Healthcare Support,27.86,
Chemical Technicians,"Life, Physical, and Social Science",27.78,
"Production, Planning, and Expediting Clerks",Office and Administrative Support,27.78,
Postal Service Mail Carriers,Office and Administrative Support,27.64,
Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,27.62,
"Bus Drivers, Transit and Intercity",Transportation and Material Moving,27.61,
"Insulation Workers, Mechanical",Construction and Extraction,27.52,
Chemical Equipment Operators and Tenders,Production,27.45,
Bailiffs,Protective Service,27.43,
Airfield Operations Specialists,Transportation and Material Moving,27.28,
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support,27.18,
Real Estate Sales Agents,Sales and Related,27.08,
Embalmers,Personal Care and Service,27.06,
"Education and Childcare Administrators, Preschool and Daycare",Management Occupations,27.05,
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance,27.01,
Plasterers and Stucco Masons,Construction and Extraction,26.93,
Choreographers,"Arts, Design, Entertainment, Sports, and Media",26.73,
Glaziers,Construction and Extraction,26.65,
Payroll and Timekeeping Clerks,Office and Administrative Support,26.58,
"Title Examiners, Abstractors, and Searchers",Legal Occupations,26.43,
Motorboat Mechanics and Service Technicians,"Installation, Maintenance, and Repair",26.42,
"Community and Social Service Specialists, All Other",Community and Social Service,26.41,
"Directors, Religious Activities and Education",Community and Social Service,26.37,
Audio and Video Technicians,"Arts, Design, Entertainment, Sports, and Media",26.36,
Costume Attendants,Personal Care and Service,26.35,
Cement Masons and Concrete Finishers,Construction and Extraction,26.28,
"Floor Layers, Except Carpet, Wood, and Hard Tiles",Construction and Extraction,26.13,
Forest and Conservation Technicians,"Life, Physical, and Social Science",26.11,
Legal Secretaries and Administrative Assistants,Office and Administrative Support,26.03,
"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair",25.96,
Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media",25.92,
Fallers,"Farming, Fishing, and Forestry",25.92,
Desktop Publishers,Office and Administrative Support,25.78,
"Excavating and Loading Machine and Dragline Operators, Surface Mining",Construction and Extraction,25.26,
Engine and Other Machine Assemblers,Production,25.26,
Forest Fire Inspectors and Prevention Specialists,Protective Service,25.19,
Private Detectives and Investigators,Protective Service,25.18,
Hoist and Winch Operators,Transportation and Material Moving,25.15,
"Financial Clerks, All Other",Office and Administrative Support,25.07,
Farm Equipment Mechanics and Service Technicians,"Installation, Maintenance, and Repair",25.04,
Biological Technicians,"Life, Physical, and Social Science",25.0,
Animal Breeders,"Farming, Fishing, and Forestry",25.0,
"Logging Workers, All Other","Farming, Fishing, and Forestry",25.0,
Motorboat Operators,Transportation and Material Moving,24.94,
Automotive Body and Related Repairers,"Installation, Maintenance, and Repair",24.85,
"Paving, Surfacing, and Tamping Equipment Operators",Construction and Extraction,24.83,
"Eligibility Interviewers, Government Programs",Office and Administrative Support,24.76,
Statistical Assistants,Office and Administrative Support,24.73,
Mechanical Door Repairers,"Installation, Maintenance, and Repair",24.54,
Community Health Workers,Community and Social Service,24.54,
Agricultural Inspectors,"Farming, Fishing, and Forestry",24.51,
Roofers,Construction and Extraction,24.51,
Public Safety Telecommunicators,Office and Administrative Support,24.39,
Audiovisual Equipment Installers and Repairers,"Installation, Maintenance, and Repair",24.34,
Tax Preparers,Business and Financial Operations,24.31,
Recreational Vehicle Service Technicians,"Installation, Maintenance, and Repair",24.3,
Locksmiths and Safe Repairers,"Installation, Maintenance, and Repair",24.27,
Credit Counselors,Business and Financial Operations,24.27,
Tree Trimmers and Pruners,Building and Grounds Cleaning and Maintenance,24.25,
"Makeup Artists, Theatrical and Performance",Personal Care and Service,24.17,
Medical Records Specialists,Healthcare Practitioners and Technical,24.16,
"Extraction Workers, All Other",Construction and Extraction,24.09,
Computer Numerically Controlled Tool Operators,Production,24.02,
"Communications Equipment Operators, All Other",Office and Administrative Support,24.0,
Freight Forwarders,Office and Administrative Support,23.99,
Cargo and Freight Agents,Office and Administrative Support,23.99,
Dancers,"Arts, Design, Entertainment, Sports, and Media",23.97,
Carpet Installers,Construction and Extraction,23.97,
"Counselors, All Other",Community and Social Service,23.96,
"Morticians, Undertakers, and Funeral Arrangers",Personal Care and Service,23.94,
Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",23.88,
Sailors and Marine Oilers,Transportation and Material Moving,23.85,
"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science",23.79,
"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support,23.77,
Food Science Technicians,"Life, Physical, and Social Science",23.76,
Home Appliance Repairers,"Installation, Maintenance, and Repair",23.76,
"Rail Transportation Workers, All Other",Transportation and Material Moving,23.72,
Camera and Photographic Equipment Repairers,"Installation, Maintenance, and Repair",23.7,
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production,23.67,
Logging Equipment Operators,"Farming, Fishing, and Forestry",23.66,
Proofreaders and Copy Markers,Office and Administrative Support,23.66,
"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,23.66,
"Meter Readers, Utilities",Office and Administrative Support,23.64,
Floor Sanders and Finishers,Construction and Extraction,23.63,
Gem and Diamond Workers,Production,23.63,
Jewelers and Precious Stone and Metal Workers,Production,23.63,
"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support,23.62,
Highway Maintenance Workers,Construction and Extraction,23.59,
Loan Interviewers and Clerks,Office and Administrative Support,23.53,
"Dispatchers, Except Police, Fire, and Ambulance",Office and Administrative Support,23.5,
"Health Technologists and Technicians, All Other",Healthcare Practitioners and Technical,23.46,
Neurodiagnostic Technologists,Healthcare Practitioners and Technical,23.46,
Pipelayers,Construction and Extraction,23.42,
"Insulation Workers, Floor, Ceiling, and Wall",Construction and Extraction,23.41,
Farm Labor Contractors,Business and Financial Operations,23.41,
"Painters, Construction and Maintenance",Construction and Extraction,23.4,
"Installation, Maintenance, and Repair Workers, All Other","Installation, Maintenance, and Repair",23.39,
Geothermal Technicians,"Installation, Maintenance, and Repair",23.39,
"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",23.38,
Actors,"Arts, Design, Entertainment, Sports, and Media",23.33,
Procurement Clerks,Office and Administrative Support,23.32,
Hazardous Materials Removal Workers,Construction and Extraction,23.31,
Insurance Claims and Policy Processing Clerks,Office and Administrative Support,23.29,
Travel Agents,Sales and Related,23.29,
Dredge Operators,Transportation and Material Moving,23.28,
Helpers--Extraction Workers,Construction and Extraction,23.27,
"Geological Technicians, Except Hydrologic Technicians","Life, Physical, and Social Science",23.27,
"Educational Instruction and Library Workers, All Other","Education, Training, and Library",23.27,
"Information and Record Clerks, All Other",Office and Administrative Support,23.25,
Refuse and Recyclable Material Collectors,Transportation and Material Moving,23.24,
Dental Laboratory Technicians,Production,23.23,
Paperhangers,Construction and Extraction,23.2,
"Construction and Related Workers, All Other",Construction and Extraction,23.14,
"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair",23.05,
"Court, Municipal, and License Clerks",Office and Administrative Support,22.93,
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Production,22.88,
First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance,22.85,
"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,22.82,
Museum Technicians and Conservators,"Education, Training, and Library",22.82,
"Rock Splitters, Quarry",Construction and Extraction,22.82,
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production,22.81,
"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair",22.77,
First-Line Supervisors of Retail Sales Workers,Sales and Related,22.75,
Dental Assistants,Healthcare Support,22.74,
"Coil Winders, Tapers, and Finishers",Production,22.72,
Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair",22.72,
Motorcycle Mechanics,"Installation, Maintenance, and Repair",22.69,
Billing and Posting Clerks,Office and Administrative Support,22.68,
Parking Enforcement Workers,Protective Service,22.67,
First-Line Supervisors of Personal Service Workers,Personal Care and Service,22.64,
"Bus Drivers, School",Transportation and Material Moving,22.62,
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production,22.6,
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production,22.59,
Fence Erectors,Construction and Extraction,22.57,
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Personal Care and Service,22.55,
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Production,22.54,
"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair",22.53,
Agricultural Technicians,"Life, Physical, and Social Science",22.49,
Correspondence Clerks,Office and Administrative Support,22.47,
Construction Laborers,Construction and Extraction,22.47,
Log Graders and Scalers,"Farming, Fishing, and Forestry",22.46,
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production,22.42,
New Accounts Clerks,Office and Administrative Support,22.41,
Outdoor Power Equipment and Other Small Engine Mechanics,"Installation, Maintenance, and Repair",22.38,
Medical Equipment Preparers,Healthcare Support,22.35,
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction and Extraction,22.35,
Industrial Truck and Tractor Operators,Transportation and Material Moving,22.3,
"Sales and Related Workers, All Other",Sales and Related,22.29,
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support,22.26,
Exercise Trainers and Group Fitness Instructors,Personal Care and Service,22.2,
Rehabilitation Counselors,Community and Social Service,22.17,
Bill and Account Collectors,Office and Administrative Support,22.14,
Speech-Language Pathology Assistants,Healthcare Support,22.14,
"Healthcare Support Workers, All Other",Healthcare Support,22.14,
Endoscopy Technicians,Healthcare Support,22.14,
"Office and Administrative Support Workers, All Other",Office and Administrative Support,22.14,
Cabinetmakers and Bench Carpenters,Production,22.12,
Animal Control Workers,Protective Service,22.03,
Fiberglass Laminators and Fabricators,Production,22.0,
"Cutting and Slicing Machine Setters, Operators, and Tenders",Production,21.97,
"Glass Blowers, Molders, Benders, and Finishers",Production,21.97,
Foundry Mold and Coremakers,Production,21.97,
Broadcast Announcers and Radio Disc Jockeys,"Arts, Design, Entertainment, Sports, and Media",21.96,
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production,21.92,
Musical Instrument Repairers and Tuners,"Installation, Maintenance, and Repair",21.79,
Adhesive Bonding Machine Operators and Tenders,Production,21.74,
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Building and Grounds Cleaning and Maintenance,21.73,
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production,21.73,
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production,21.7,
"Religious Workers, All Other",Community and Social Service,21.69,
Social and Human Service Assistants,Community and Social Service,21.69,
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Production,21.63,
Pest Control Workers,Building and Grounds Cleaning and Maintenance,21.51,
Order Clerks,Office and Administrative Support,21.47,
Medical Secretaries and Administrative Assistants,Office and Administrative Support,21.46,
"Cooks, Private Household",Food Preparation and Serving Related,21.41,
Medical Assistants,Healthcare Support,21.25,
Light Truck Drivers,Transportation and Material Moving,21.22,
Electromechanical Equipment Assemblers,Production,21.17,
Electrical and Electronic Equipment Assemblers,Production,21.17,
Gambling Surveillance Officers and Gambling Investigators,Protective Service,21.11,
"Interviewers, Except Eligibility and Loan",Office and Administrative Support,21.07,
Forest and Conservation Workers,"Farming, Fishing, and Forestry",21.0,
Phlebotomists,Healthcare Support,20.99,
"Entertainers and Performers, Sports and Related Workers, All Other","Arts, Design, Entertainment, Sports, and Media",20.99,
"Office Clerks, General",Office and Administrative Support,20.97,
"Grounds Maintenance Workers, All Other",Building and Grounds Cleaning and Maintenance,20.87,
"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support,20.77,
Crematory Operators,Personal Care and Service,20.62,
Customer Service Representatives,Office and Administrative Support,20.59,
"Disc Jockeys, Except Radio","Arts, Design, Entertainment, Sports, and Media",20.59,
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production,20.54,
Agricultural Equipment Operators,"Farming, Fishing, and Forestry",20.47,
Furniture Finishers,Production,20.45,
Photographers,"Arts, Design, Entertainment, Sports, and Media",20.44,
"Building Cleaning Workers, All Other",Building and Grounds Cleaning and Maintenance,20.37,
"Assemblers and Fabricators, All Other",Production,20.29,
First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related,20.2,
"Material Moving Workers, All Other",Transportation and Material Moving,20.04,
"Grinding and Polishing Workers, Hand",Production,20.04,
Psychiatric Aides,Healthcare Support,20.0,
"Protective Service Workers, All Other",Protective Service,20.0,
Retail Loss Prevention Specialists,Protective Service,20.0,
Helpers--Carpenters,Construction and Extraction,20.0,
Skincare Specialists,Personal Care and Service,19.98,
Aircraft Service Attendants,Transportation and Material Moving,19.97,
Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support,19.94,
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production,19.93,
Emergency Medical Technicians,Healthcare Practitioners and Technical,19.88,
File Clerks,Office and Administrative Support,19.84,
Conveyor Operators and Tenders,Transportation and Material Moving,19.82,
Manufactured Building and Mobile Home Installers,"Installation, Maintenance, and Repair",19.75,
Food Batchmakers,Production,19.61,
"Helpers, Construction Trades, All Other",Construction and Extraction,19.6,
Helpers--Roofers,Construction and Extraction,19.51,
Food Cooking Machine Operators and Tenders,Production,19.49,
Etchers and Engravers,Production,19.45,
"Agricultural Workers, All Other","Farming, Fishing, and Forestry",19.42,
Bicycle Repairers,"Installation, Maintenance, and Repair",19.4,
Cooling and Freezing Equipment Operators and Tenders,Production,19.31,
Library Technicians,"Education, Training, and Library",19.22,
Helpers--Electricians,Construction and Extraction,19.18,
Data Entry Keyers,Office and Administrative Support,19.16,
Machine Feeders and Offbearers,Transportation and Material Moving,19.09,
Nursing Assistants,Healthcare Support,19.01,
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction,18.88,
Residential Advisors,Personal Care and Service,18.84,
"Office Machine Operators, Except Computer",Office and Administrative Support,18.76,
Barbers,Personal Care and Service,18.73,
Butchers and Meat Cutters,Production,18.73,
"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,18.72,
Recycling and Reclamation Workers,Transportation and Material Moving,18.72,
"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair",18.68,
"Cutters and Trimmers, Hand",Production,18.65,
Animal Trainers,Personal Care and Service,18.63,
Counter and Rental Clerks,Sales and Related,18.53,
Craft Artists,"Arts, Design, Entertainment, Sports, and Media",18.5,
"Food Processing Workers, All Other",Production,18.47,
Security Guards,Protective Service,18.45,
Couriers and Messengers,Office and Administrative Support,18.43,
Helpers--Production Workers,Production,18.38,
Motion Picture Projectionists,Personal Care and Service,18.35,
"Mail Clerks and Mail Machine Operators, Except Postal Service",Office and Administrative Support,18.34,
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Construction and Extraction,18.34,
Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance,18.31,
Demonstrators and Product Promoters,Sales and Related,18.25,
"Personal Care and Service Workers, All Other",Personal Care and Service,18.22,
Crossing Guards and Flaggers,Protective Service,18.13,
Orderlies,Healthcare Support,18.12,
Passenger Attendants,Transportation and Material Moving,18.06,
Medical Transcriptionists,Healthcare Support,18.05,
Parts Salespersons,Sales and Related,18.0,
Occupational Therapy Aides,Healthcare Support,17.97,
Merchandise Displayers and Window Trimmers,"Arts, Design, Entertainment, Sports, and Media",17.96,
Concierges,Personal Care and Service,17.94,
Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support,17.94,
Receptionists and Information Clerks,Office and Administrative Support,17.9,
Driver/Sales Workers,Transportation and Material Moving,17.85,
"Preschool Teachers, Except Special Education","Education, Training, and Library",17.85,
Tire Repairers and Changers,"Installation, Maintenance, and Repair",17.85,
Stockers and Order Fillers,Transportation and Material Moving,17.83,
Dietetic Technicians,Healthcare Practitioners and Technical,17.81,
Pharmacy Aides,Healthcare Support,17.79,
Gambling Cage Workers,Office and Administrative Support,17.78,
"Cooks, Restaurant",Food Preparation and Serving Related,17.71,
Fishing and Hunting Workers,"Farming, Fishing, and Forestry",17.67,
Travel Guides,Personal Care and Service,17.63,
Tour Guides and Escorts,Personal Care and Service,17.63,
Shuttle Drivers and Chauffeurs,Transportation and Material Moving,17.63,
Bakers,Production,17.62,
"Cooks, Institution and Cafeteria",Food Preparation and Serving Related,17.53,
"Motor Vehicle Operators, All Other",Transportation and Material Moving,17.43,
"Cooks, All Other",Food Preparation and Serving Related,17.41,
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Farming, Fishing, and Forestry",17.38,
Floral Designers,"Arts, Design, Entertainment, Sports, and Media",17.37,
Baggage Porters and Bellhops,Personal Care and Service,17.32,
"Library Assistants, Clerical",Office and Administrative Support,17.31,
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,17.27,
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",17.16,
"Cooks, Short Order",Food Preparation and Serving Related,17.12,
"Packers and Packagers, Hand",Transportation and Material Moving,17.1,
"Graders and Sorters, Agricultural Products","Farming, Fishing, and Forestry",17.03,
Recreation Workers,Personal Care and Service,17.01,
Cleaners of Vehicles and Equipment,Transportation and Material Moving,16.96,
"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,16.95,
School Bus Monitors,Protective Service,16.82,
Personal Care Aides,Healthcare Support,16.78,
Home Health Aides,Healthcare Support,16.78,
Automotive and Watercraft Service Attendants,Transportation and Material Moving,16.76,
"Food Preparation and Serving Related Workers, All Other",Food Preparation and Serving Related,16.74,
Gambling Change Persons and Booth Cashiers,Sales and Related,16.74,
"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care and Service,16.73,
Manicurists and Pedicurists,Personal Care and Service,16.66,
Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance,16.66,
Funeral Attendants,Personal Care and Service,16.64,
Parking Attendants,Transportation and Material Moving,16.63,
Retail Salespersons,Sales and Related,16.62,
"Entertainment Attendants and Related Workers, All Other",Personal Care and Service,16.61,
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related,16.6,
"Gambling Service Workers, All Other",Personal Care and Service,16.6,
Physical Therapist Aides,Healthcare Support,16.59,
"Food Servers, Nonrestaurant",Food Preparation and Serving Related,16.57,
Telemarketers,Sales and Related,16.54,
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving,16.51,
"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support,16.48,
Food Preparation Workers,Food Preparation and Serving Related,16.45,
Waiters and Waitresses,Food Preparation and Serving Related,16.23,
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service,16.21,
Dishwashers,Food Preparation and Serving Related,16.19,
Bartenders,Food Preparation and Serving Related,16.12,
Animal Caretakers,Personal Care and Service,16.09,
Gambling Dealers,Personal Care and Service,16.0,
Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving Related,15.71,
Nannies,Personal Care and Service,15.41,
Childcare Workers,Personal Care and Service,15.41,
Shampooers,Personal Care and Service,15.13,
Cashiers,Sales and Related,14.99,
"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service,14.98,
Amusement and Recreation Attendants,Personal Care and Service,14.66,
Gambling and Sports Book Writers and Runners,Personal Care and Service,14.65,
Fast Food and Counter Workers,Food Preparation and Serving Related,14.65,
Baristas,Food Preparation and Serving Related,14.65,
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving Related,14.61,
"Cooks, Fast Food",Food Preparation and Serving Related,14.5,
