title,occupation_family,salary_median_clean,job_growth
Biomass Power Plant Managers,Management Occupations,58.39,
Medical and Health Services Managers,Management Occupations,56.71,
"Physical Scientists, All Other","Life, Physical, and Social Science",56.71,
Nanosystems Engineers,Architecture and Engineering,56.61,
"Engineers, All Other",Architecture and Engineering,56.61,
"Energy Engineers, Except Wind and Solar",Architecture and Engineering,56.61,
Microsystems Engineers,Architecture and Engineering,56.61,
Mechatronics Engineers,Architecture and Engineering,56.61,
Photonics Engineers,Architecture and Engineering,56.61,
Clinical Neuropsychologists,"Life, Physical, and Social Science",56.53,
Neuropsychologists,"Life, Physical, and Social Science",56.53,
Economists,"Life, Physical, and Social Science",55.5,
Environmental Economists,"Life, Physical, and Social Science",55.5,
"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Occupations,55.4,
Naturopathic Physicians,Healthcare Practitioners and Technical,54.68,
"Healthcare Diagnosing or Treating Practitioners, All Other",Healthcare Practitioners and Technical,54.68,
Data Scientists,Computer and Mathematical Occupations,54.13,
Business Intelligence Analysts,Computer and Mathematical Occupations,54.13,
Clinical Data Managers,Computer and Mathematical Occupations,54.13,
Electrical Engineers,Architecture and Engineering,53.8,
Art Directors,"Arts, Design, Entertainment, Sports, and Media",53.38,
Industrial-Organizational Psychologists,"Life, Physical, and Social Science",52.81,
Fire-Prevention and Protection Engineers,Architecture and Engineering,52.72,
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering,52.72,
Web Administrators,Computer and Mathematical Occupations,52.39,
Digital Forensics Analysts,Computer and Mathematical Occupations,52.39,
Geographic Information Systems Technologists and Technicians,Computer and Mathematical Occupations,52.39,
Computer Systems Engineers/Architects,Computer and Mathematical Occupations,52.39,
Information Security Engineers,Computer and Mathematical Occupations,52.39,
"Computer Occupations, All Other",Computer and Mathematical Occupations,52.39,
Blockchain Engineers,Computer and Mathematical Occupations,52.39,
Information Technology Project Managers,Computer and Mathematical Occupations,52.39,
Document Management Specialists,Computer and Mathematical Occupations,52.39,
Penetration Testers,Computer and Mathematical Occupations,52.39,
Administrative Services Managers,Management Occupations,52.11,
Materials Engineers,Architecture and Engineering,52.07,
Construction Managers,Management Occupations,51.43,
Bioengineers and Biomedical Engineers,Architecture and Engineering,51.42,
Elevator and Escalator Installers and Repairers,Construction and Extraction,51.24,
Financial Risk Specialists,Business and Financial Operations,50.96,
First-Line Supervisors of Police and Detectives,Protective Service,50.95,
Marine Engineers and Naval Architects,Architecture and Engineering,50.8,
Facilities Managers,Management Occupations,50.33,
Security Managers,Management Occupations,50.33,
Database Administrators,Computer and Mathematical Occupations,50.3,
Nuclear Technicians,"Life, Physical, and Social Science",50.11,
Nuclear Monitoring Technicians,"Life, Physical, and Social Science",50.11,
Environmental Engineers,Architecture and Engineering,50.08,
Materials Scientists,"Life, Physical, and Social Science",50.08,
"Education Administrators, Postsecondary",Management Occupations,49.98,
Health Informatics Specialists,Computer and Mathematical Occupations,49.9,
Computer Systems Analysts,Computer and Mathematical Occupations,49.9,
Biochemists and Biophysicists,"Life, Physical, and Social Science",49.83,
Biostatisticians,Computer and Mathematical Occupations,49.66,
Statisticians,Computer and Mathematical Occupations,49.66,
General and Operations Managers,Management Occupations,49.5,
Software Quality Assurance Analysts and Testers,Computer and Mathematical Occupations,49.33,
Automotive Engineers,Architecture and Engineering,49.19,
Mechanical Engineers,Architecture and Engineering,49.19,
Fuel Cell Engineers,Architecture and Engineering,49.19,
Personal Financial Advisors,Business and Financial Operations,49.11,
Financial and Investment Analysts,Business and Financial Operations,48.73,
Ship Engineers,Transportation and Material Moving,48.71,
Management Analysts,Business and Financial Operations,48.65,
Human Factors Engineers and Ergonomists,Architecture and Engineering,48.63,
Manufacturing Engineers,Architecture and Engineering,48.63,
Industrial Engineers,Architecture and Engineering,48.63,
"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering,48.57,
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Installation, Maintenance, and Repair",48.53,
Project Management Specialists,Business and Financial Operations,48.44,
"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science",48.36,
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related,48.11,
Solar Sales Representatives and Assessors,Sales and Related,48.11,
Special Effects Artists and Animators,"Arts, Design, Entertainment, Sports, and Media",47.98,
Hydroelectric Plant Technicians,Production,47.92,
Biomass Plant Technicians,Production,47.92,
Civil Engineers,Architecture and Engineering,47.88,
"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science",47.71,
